OBJECTID;X;Y;post_id;Name;description;addrln1;city;zip;org_name;latitude;longitude;POINT_X;POINT_Y
157243238;-118.139408156422405;33.940060387188204;57308;Southern California Alcohol And Drug Programs - Drug And Alcohol Counseling Services;The agency provides domestic violence services, HIV/AIDS services, residential treatment for substance abuse, substance abuse services and youth services for people in Los Angeles County.;11500 Paramount Blvd;Downey;90241;www.scadpinc.org/;33.94006042;-118.1394081;6519385.31609556;1800596.3912099
157243682;-118.463410455913035;34.229765116646874;57652;Communities In Schools - San Fernando Valley;The agency provides gang programs and youth services in the cities of North Hills, North Hollywood, Pacoima, Panorama City, San Fernando, Sylmar and Van Nuys.;8743 Burnet Ave;North Hills;91343;www.cisgla.org;34.22976515;-118.4634104;6421596.02282938;1906319.10266431
157243822;-118.214324056073153;34.045338967371293;57745;Hollenbeck Police Business Council;The agency provides holiday assistance, recreational programs and youth services for economically disadvantaged youth who live in the East Los Angeles area.;2015 E. 1st St.;Los Angeles;90033;NULL;34.045339;-118.214324;6496743.67797998;1838949.34435947
157244067;-118.486825055592575;34.198319226321821;57999;Keep Youth Doing Something Inc;The agency provides recreational programs for youth who live in the San Fernando Valley.;7026 Sophia Ave;Van Nuys;91406;www.kydsinc.org;34.19831926;-118.486825;6414463.16045472;1894908.9624269
157244386;-118.221338855989771;34.123668866499322;58340;Emotional Change Inc;The agency provides victims of crime support for individuals in Los Angeles County.;4368 Eagle Rock Blvd;Los Angeles;90041;;;;;
157244393;-118.248852056334144;33.870862967540376;58344;Comprehensive Community Services;The agency provides volunteer opportunities and WIA programs for people who live in the Los Angeles County jurisdiction.;17625 S. Central Ave.;Carson;90746;;;;;
157244441;-118.336490355899443;34.011176466633636;58384;Community Build Youth Development Center;The agency provides youth services for at risk adolescents and young adults in the Crenshaw area of Los Angeles.;3650 W Martin Luther King Blvd;Los Angeles;90008;www.communitybuild.org/;34.0111765;-118.3364903;6459693.49125372;1826618.39854898
157244444;-118.33165555611275;34.005629787330918;58385;Community Build;The agency provides youth services for at risk adolescents and young adults in the Crenshaw area of Los Angeles.;4305 Degnan Blvd;Los Angeles;90008;www.communitybuild.org/;34.00562982;-118.3316555;6461152.0614993;1824594.99052231
157244845;-118.402325056150289;34.053922967133808;58699;Simon Wiesenthal Center;The Center provides public awareness and promotes social action against violations of human rights, bigotry, and hate crimes.;1399 S. Roxbury Dr.;Los Angeles;90035;www.wiesenthal.com;34.053923;-118.402325;6439803.97164963;1842247.8964894
157244873;-118.370186056430867;33.927262967134304;58725;Volunteer Center , South Bay - Harbor - Long Beach - Lax Office;The center provides services for non-profit organizations and volunteer opportunities for people who are interested in volunteer work.;11701 S. La Cienega Blvd.;Los Angeles;90045;www.volcenter.org;33.927263;-118.370186;6449369.24352956;1796116.59111439
157245432;-118.240825056893584;34.067180966940079;59213;Los Angeles Fire Department - Arson Investigation Section - Safe Program;The department provides fire and rescue services for people of all ages in Los Angeles.;1700 Stadium Way;Los Angeles;90012;www.lafd.org;34.067181;-118.240825;6488734.60475931;1846916.22409497
157245691;-118.130441057205019;34.149075967273021;59412;Pasadena Police Department - Police Activities League;The department provides law enforcement, mental health services, and youth services for the city of Pasadena.;960 E. Walnut St.;Pasadena;91106;http://www.ci.pasadena.ca.us/Police/;34.149076;-118.130441;6522203.90461847;1876657.58127882
157246118;-118.265186656010997;33.782820247685471;59936;Harbor Area Gang Alternatives Program;The foundation provides services for youth in Los Angeles County.;309 W Opp St;Wilmington;90744;www.gangfree.org;33.78282028;-118.2651866;6481083.50884105;1743449.76731439
157246163;-118.426965056034604;34.05587096683616;59991;Anti-Defamation League - Los Angeles Regional Office;The league provides advocacy for people in Southern California.;10495 Santa Monica Blvd.;Los Angeles;90025;www.adl.org;34.055871;-118.426965;6432343.44096705;1842987.59284465
157246413;-118.308950455981147;33.860657096745314;60177;Mothers Against Drunk Driving - Los Angeles County Chapter;The organization provides substance abuse services, victims of crime support and volunteer opportunities for people in Los Angeles County.;18726 S Western Ave;Gardena;90248;www.madd.org/ca/la;33.86065713;-118.3089504;6467871.35153839;1771814.50126722
157246780;-118.205252055800145;33.895712967453328;60539;Ywca Of Greater Los Angeles - Sexual Assault Crisis Services;The program provides sexual assault services and volunteer opportunities for people of all ages who live in Compton and the surrounding communities.;1600 E. Compton Blvd.;Compton;90221;www.ywcagla.org;33.895713;-118.205252;6499380.73143288;1784491.62683156
157246869;-118.213170956374256;34.045577406532168;60635;City Of Los Angeles Police Department - Hollenbeck Police Activities League;The program provides youth services for youth and their parents in East Los Angeles.;126 N Saint Louis St;Los Angeles;90033;www.lapdhollenbeckpal.org;34.04557744;-118.2131709;6497093.17793714;1839035.37404306
157246872;-118.30503005665642;34.010670967058473;60636;City Of Los Angeles Police Department - Southwest Police Activities League;The program provides youth services for youth and their parents in Southwest Los Angeles.;1546 W. Martin Luther King Jr. Blvd.;Los Angeles;90062;NULL;34.010671;-118.30503;6469227.26877405;1826404.01315098
157246874;-118.256302555883181;34.012563546918457;60637;City Of Los Angeles Police Department  - Newton Street Police Activities League;The program provides youth services for youth and their parents in the Fashion District, South Park District, and Pueblo Del Rio Housing Development area Los Angeles.;3400 S Central Ave;Los Angeles;90011;NULL;34.01256358;-118.2563025;6483996.45314638;1827051.52563548
157246876;-118.330838056592299;34.095629966829776;60638;City Of Los Angeles Police Department - Hollywood Police Activities League;The program provides youth services for youth and their parents in the Hollywood area Los Angeles.;1358 N. Wilcox Ave.;Hollywood;90028;;;;;
157246878;-118.549589355390907;34.228082546164423;60639;City Of Los Angeles Police Department - Devonshire Police Activities League;The program provides youth services for youth and their parents in the Northwest San Fernando Valley area Los Angeles.;19100 Parthenia St;Northridge;91324;NULL;34.22808258;-118.5495893;6395543.75931722;1905838.05310148
157247052;-118.243901056796489;34.055798966967714;60789;Los Angeles County District Attorney - Child Abduction Unit;The unit provides child protective services for children and families in Los Angeles county.;320 W. Temple St.;Los Angeles;90012;http://da.lacounty.gov/cau;34.055799;-118.243901;6487792.96556647;1842776.35310964
157248169;-118.380619055774105;33.989112966986362;61504;Loved Ones Victim Center;The program provides victims of crime support for people whose loved ones have become homicide victims or drunk driving victims.;5701 W. Slauson Ave;Culver City;90230;lovedonesvictimsservices.org;33.989113;-118.380619;6446289.49247122;1818636.80066706
157248430;-118.185550924884808;33.809234681628816;28668;Miller Children's Abuse And Violence Intervention Center;;Memorial Medical Building;Long Beach;90806;LA County;33.80923471;-118.18555087;6505301.50305589;1753008.43290831
157249348;-118.18981305611814;33.836339967258098;57065;Children's Institute Inc - Long Beach Office;The agency provides child abuse services, child care, family support services, foster care services, mental health services, school readiness, substance abuse services and welfare-to-work support services for people of all ages and their families in Los Angeles County.;4300 Long Beach Blvd.;Long Beach;90807;;;;;
157249355;-118.268679912239605;34.070741897523234;57066;Children's Institute, Inc. - Otis Booth Campus;The agency provides child abuse services, child care, family support services, foster care services, mental health services, school readiness, substance abuse services and welfare-to-work support services for people of all ages and their families in Los Angeles County.  Services are provided at multiple locations.;2121 W. Temple St.;Los Angeles;90026;;34.07074193;-118.26867986;6480302.02812055;1848233.4904893
157249400;-118.360500055702175;34.050165907155041;1083;Southern California Counseling Center;The center provides counseling services and domestic violence services for adults, couples, families and children in Los Angeles County.;5615 W. Pico Blvd.;Los Angeles;90019;;;;;
157249499;-118.081170156699514;33.912231686927761;56927;Community Legal Services;The agency provides advocacy, domestic violence services, legal services and welfare-to-work support services primarily for low-income people and adults, age 60 and older, who live in Southeast Los Angeles County.  Services are provided at three locations in Norwak and in Compton.  Some services are restricted to people who meet federal poverty-level income guidelines;;;;;;;;
157249682;-118.301710655927735;34.061569216456071;883;African Community Resource Center, Inc.;The agency provides cultural awareness, domestic violence services, immigration services, transitional shelter and victims of crime support for people in Los Angeles County.  Services are targeted, but not restricted, to newly-arrived African immigrants and refugees.;3540 Wilshire Blvd;Los Angeles;90010;;34.06156925;-118.3017106;6470288.84768763;1844923.77204314
157249746;-117.863711956695369;34.072777597102046;70003;Rickman Recovery Center;The agency provides substance abuse services for adolescents and adults in the San Gabriel Valley area.;1274 Center Court Dr;Covina;91724;;;;;
157249762;-118.090624856678588;33.934469407166937;70009;Low Cost Community Counseling Center;The agency provides domestic violence services, mental health services and substance abuse services for children and adults.;10909 Orr And Day Rd;Santa Fe Springs;90670;;33.93446944;-118.0906248;6534180.33965506;1798544.77982756
157249829;-117.934957757016534;34.069074607515532;70039;Foothill Family Service - West Covina Office;The agency provides counseling services, domestic violence services, family life education, child abuse services, services for older adults, and welfare-to-work support services for individuals of all ages in the San Gabriel Valley area.;1215 W Covina Pkwy;West Covina;91790;;;;;
157249842;-118.419360056349703;34.171909946216445;70042;Help Group, The;The center provides child abuse services, education services, mental health services, residential mental health services, welfare-to-work support services and services for people with developmental disabilities, primarily for residents of the San Fernando Valley, greater Los Angeles and the South Bay.;13130 Burbank Blvd;Sherman Oaks;91401;;34.17190998;-118.41936;6434823.14466906;1885206.27546747
157249974;-118.096111156492697;33.982729367328588;70230;Angel Step Inn Domestic Violence Emergency Shelter;The agency provides domestic violence services, residential treatment for substance abuse, shelter and welfare-to-work support services for people who live in Los Angeles County.;9047 Washington Blvd;Pico Rivera;90660;;33.9827294;-118.0961111;6532532.92628323;1816109.15841265
157250029;-118.354822656153772;33.963084216668854;70257;City Of Inglewood Police Department;The agency provides law enforcement services for the city of Inglewood.;1 W Manchester Blvd;Inglewood;90301;;33.96308425;-118.3548226;6454075.94212139;1809135.84099448
157250034;-118.188792856005179;33.979520097336859;70258;City Of Bell Police Department;The department provides law enforcement services for the city of Bell.;6326 Pine Ave;Bell;90201;;33.97952013;-118.1887928;6504433.02382173;1814981.05830665
157250059;-118.290303555785769;33.852207777255799;70277;Children's Institute Inc - Torrance Office;The agency provides child abuse services, child care, family support services, foster care services, mental health services, school readiness, substance abuse services and welfare-to-work support services for people of all ages and their families in Los Angeles County.;19700 S Vermont Ave;Torrance;90502;;33.85220781;-118.2903035;6473523.75263514;1768722.72037731
157250117;-118.207897456053814;34.05678446652005;70300;Clinica Monsenor Oscar A. Romero Community Health Center - Boyle Heights - East Los Angeles;The clinic provides health services, substance abuse services and welfare-to-work support services, primarily for low-income people of all ages who would otherwise be unable to obtain primary health care and family life education for adults age 18 and older.;2032 Marengo St;Los Angeles;90033;;;;;
157250124;-118.16057715601697;34.034942407212952;70304;Los Angeles County District Attorney - Victim-Witness Assistance Program - East Los Angeles;The program provides victims of crime support in Los Angeles County.;4848 Civic Center Way;Los Angeles;90022;;34.03494244;-118.1605771;6513019.53781664;1835135.47370639
157250160;-138.152186011030096;27.196009968715749;70340;Bilingual Shelter For Victims Of Domestic Violence;The agency provides a battered women's shelter, domestic violence services and welfare-to-work support services for women with children who are in Los Angeles County.;;Los Angeles;90015;;27.19601;-138.152186;4.22168173;-2.15259893
157250167;-118.264150056771157;34.042962967261531;70341;Free Spirit: For Victims Of Domestic Violence;The agency provides a battered women's shelter and welfare-to-work support services for women with children who are in Los Angeles County.;;Los Angeles;90015;;34.042963;-118.26415;6481647.30233289;1838120.59864165
157250209;-118.16057715601697;34.034942407212952;70364;Los Angeles County District Attorney - East Los Angeles Office;The District Attorney's Office provides consumer services, domestic violence services and law enforcement.;4848 Civic Center Way;Los Angeles;90022;;34.03494244;-118.1605771;6513019.53781664;1835135.47370639
157250214;-118.266904656424146;34.03003989723863;70365;Los Angeles County District Attorney - Metropolitan Office;The District Attorney's Office provides consumer services, domestic violence services and law enforcement.;1933 S Broadway;Los Angeles;90007;;34.03003993;-118.2669046;6480800.32338381;1833419.85935548
157250219;-118.551256755768648;34.415622976303951;70366;Los Angeles County District Attorney - Santa Clarita Office;The District Attorney's Office provides consumer services, domestic violence services and law enforcement.;23747 Valencia Blvd;Santa Clarita;91355;;34.41562301;-118.5512567;6395414.04271314;1974089.29487956
157250276;-117.801680557182578;34.104772167353161;70425;Los Angeles County Sheriff - San Dimas Station;The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.;270 S Walnut Ave;San Dimas;91773;;34.1047722;-117.8016805;6621705.95758247;1860568.23320822
157250282;-118.233460256515315;34.054971377329231;70426;Los Angeles County Sheriff - Metro Transit Services Bureau;The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.;1 Gateway Plaza Dr;Los Angeles;90012;;34.05497141;-118.2334602;6490954.76796989;1842467.66868764
157250331;-118.523222855735568;34.245871946798204;70452;Child And Family Guidance Center;The agency provides child abuse services, education services, school readiness for children age 0 to 5, welfare-to-work support services and youth services for children, youth and families in the Antelope, San Fernando and Santa Clarita Valleys.;9650 Zelzah Ave;Northridge;91325;;;;;
157250339;-118.500388356061507;34.228646116443969;70453;Child And Family Guidance Center - Family Stress Center;The agency provides child abuse services, education services, school readiness for children age 0 to 5, welfare-to-work support services and youth services for children, youth and families in the Antelope, San Fernando and Santa Clarita Valleys.;16861 Parthenia St;North Hills;91343;;;;;
157250361;-118.143468356980748;34.148977057252864;70464;Neighborhood Legal Services Of Los Angeles County - Pasadena Legal Access Self-Help Center;The agency provides advocacy, domestic violence services, health services, immigration services, legal services and volunteer opportunities for low-income residents in Los Angeles County who have incomes up to 200% of the federal poverty guidelines.;300 E Walnut St;Pasadena;91101;;;;;
157250373;-118.174674456084432;34.124885307134484;70470;Hillsides Family Center;The agency provides family support services, residential mental health services, special education for families of children with disabilities, and transiional housing for emanicipated former foster youth in Los Angeles.;940 Ave 64;Pasadena;91105;;34.12488534;-118.1746744;6508805.29591705;1867874.48073481
157250386;-118.412502356067051;34.008793146422406;70476;Culver-Palms Center - Didi Hirsch;The agency provides counseling services;;;;;;;;
157250401;-118.381590355545669;33.836810567347499;70571;South Bay Youth Project;The project provides counseling services for youth and their families who live in the South Bay area of Los Angeles.;410 Camino Real;Redondo Beach;90277;;33.8368106;-118.3815903;6445784.6434153;1763211.96138573
157250483;-118.235978056582624;34.155704967036385;70619;Ywca Glendale - Ywca Battered Women's Shelter - Sunrise Village;The agency provides domestic violence services, health services and shelter for battered women, and health services for women.;;Glendale;91206;;34.155705;-118.235978;6490278.18270889;1879128.18755805
157250509;-118.308467456067817;34.18285211649539;70634;City Of Burbank Police Department;The department provides law enforcement services for the city of Burbank.;200 N 3Rd St;Burbank;91502;;34.18285215;-118.3084674;6468377.81443623;1889066.87404548
157250527;-118.413959555858455;34.194434106274144;70636;Valley Community Clinic;The agency provides drug abuse services, family planning services, health services, HIV/AIDS services, and mental health services primarily for people of all ages who live in the San Fernando Valley.;6801 Coldwater Canyon Ave;North Hollywood;91605;;;;;
157250701;-118.353755056261136;33.963826367039353;70773;Volunteer Center , South Bay - Harbor - Long Beach - Inglewood Office;The center provides services for non-profit organizations and volunteer opportunities for people who are interested in volunteer work.;111 N La  Brea Ave;Inglewood;90301;;33.9638264;-118.353755;6454400.6242148;1809404.78271382
157250771;-118.268895256546031;34.066233367256558;70798;Pacific Asian Alcohol And Drug Program;The agency provides substance abuse services for adults, age 18 and older, in Los Angeles County.;2001 Beverly Blvd;Los Angeles;90057;;34.0662334;-118.2688952;6480232.42327289;1846592.93012214
157250783;-118.037722456365643;33.980586767079203;70802;Center For Integrated Family And Health Services - Whittier;The center provides counseling services for families in the San Gabriel Valley.;6709 Greenleaf Ave;Whittier;90601;;;;;
157250895;-118.249805655894605;33.998951886905694;70865;Family Unity;The agency provides advocacy, emergency food, inmate services and utility bill assistance to people who live in Los Angeles County.;4858 Ascot Ave;Los Angeles;90011;;33.99895192;-118.2498056;6485953.05979747;1822093.02374148
